Question,Content
What are the best practices for prepare How do you make pear crostini?,"preparation time: 2 minutes cooking time: 3 minutes portions: 4 ingredients: 4 slices of bread 2 teaspoons of honey 2 pears, peeled and cut into small cubes 50g flaked almonds procedure: toast the bread slices in the fryer at 180 degrees for 2-3 minutes. place the toasted slices on plates, spread the honey, add the pears and almonds. serve them while still hot. Enjoy your meal! nutrients: fat 4, fiber 9, carbohydrates 15, protein 6, calories 240"
How might I prepare What is the best way to cook vegan coffee cream?,"preparation time: 4 minutes cooking time: 2 minutes portions: 2 ingredients: 60ml espresso coffee 300g sweetened vegetable cream 1 tablespoon organic hazelnut cream 2 coffee beans for embellishment procedure: melt the coffee and the organic vegan cream in the air fryer at 200 degrees. pour the melted mix into a bowl, add the cream and beat with an electric whisk until you create a thick cream. pour into glasses, place a coffee bean on top to embellish and serve. Enjoy your meal! nutrients: fat 4, fiber 20, carbohydrates 16, protein 8, calories 250"
What are some good ways to cook brioches for children?,"preparation time: 6 minutes cooking time: 5 minutes portions: 2 ingredients: 2 empty croissants, defrosted and cut in half horizontally 2 tablespoons of organic hazelnut cream 2 teaspoons of chocolate dragees oil in spray procedure: insert the empty croissants into the oiled fryer and preheated to 180 degrees and cook until crispy. remove them from the air fryer, fill with hazelnut cream and chocolate dragees and serve. Enjoy your meal! nutrients: fat 9, fiber 8, carbohydrates 15, proteins 12, calories 320"
What is the best way to make a quick and easy breakfast?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 2 slices of wholemeal rye bread 2 tablespoons of blackberry jam a handful of blackberries 2 tablespoons of flaked almonds procedure: heat the fryer to around 180 degrees and toast the bread. place the toasted bread on plates, spread the jam over it, add the blackberries and almonds and serve. Enjoy your meal! nutrients: fat 4, fiber 7, carbohydrates 25, proteins 5, calories 292"
What is required to cook a classic breakfast?,"preparation time: 2 minutes cooking time: 4 minutes portions: 1 ingredients: a cup of warm milk 50g of corn flakes a spoonful of hazelnuts cut in half honey to taste procedure: toast the corn flakes and hazelnuts in the fryer at 180 degrees for 4 minutes. pour the milk into a cup, add the toasted ingredients and serve with honey sprinkled on top. Enjoy your meal! nutrients: fat 3, fiber 7, carbohydrates 12, protein 7, calories 232"
What is the best way to cook banana splits?,"preparation time: 4 minutes cooking time: 4 minutes portions: 2 ingredients: 1 piadina 1 banana, cut in half vertically 1 tablespoon of Nutella 1 handful of coarsely chopped hazelnuts hot milk separately procedure: toast the piadina in a pan non-stick and in the meantime toast the hazelnuts at 180 degrees in the fryer for 3 minutes. place the piadina on the plate, spread the Nutella on top, add the toasted hazelnuts on top and place the 2 halves of the banana on top. divide the piadina in half, fold each half and serve. Enjoy your meal! nutrients: fat 12, fiber 7, carbohydrates 19, proteins 12, calories 320"
What methods can I use to prepare What is the best way to cook a healthy breakfast?,"preparation time: 6 minutes cooking time: 5 minutes portions: 4 ingredients: 4 eggs 4 chicken sausages 4 slices of rye bread a large wedge of cheese (about 300g) salt and pepper to taste 1 teaspoon parsley, chopped procedure : in the fryer, cook the sausages for 5 minutes at 180 degrees. in the meantime, prepare some scrambled eggs with parsley, salt and pepper in a non-stick pan. Prepare the dish with a freshly cut slice of cheese, sausage, eggs and bread and serve while still hot. Enjoy your meal! nutrients: fat 12, fiber 6, carbohydrates 10, proteins 18, calories 322"
How can I cook porridge?,"preparation time: 5 minutes + soaking overnight cooking time: 5 minutes portions: 2 ingredients: 140g of oat flakes 200ml of water 220ml of skimmed milk a pinch of salt honey and fruit to serve procedure: leave to soak oats in warm water overnight in a very large cup, covering with a towel. the next morning, pour the oats into the fryer preheated to 130-150 degrees, add the milk and salt and cook for 5 minutes. pour the porridge into bowls and, once cooled, serve it with honey and fruit. Enjoy your meal! nutrients: fat 1, fiber 14, carbohydrates 22, protein 8, calories 302"
How do I cook tofu?,"preparation time: 4 minutes cooking time: 7 minutes portions: 2 ingredients: 1 block tofu, cut into medium cubes 130g gluten-free breadcrumbs salt and black pepper to taste ½ tbsp flour 1 egg 1 tbsp mushrooms, chopped method : in a bowl mix the egg well with the flour, salt and pepper. dip the tofu pieces in the eggs, then dip them in the breadcrumbs, put them in the fryer and cook them at 180 degrees for 7 minutes together with the mushrooms. serve them immediately for breakfast. Enjoy your meal! nutrients: fat 4, fiber 6, carbohydrates 8, protein 3, calories 142"
What is the best way to cook biscuits with pistachio?,"preparation time: 4 minutes cooking time: 7 minutes portions: 3 ingredients: 3 rice cakes 3 tablespoons of pistachio cream 3 tablespoons of pistachios, shelled and roughly chopped a handful of raspberries procedure: toast the pistachios in the fryer at 180 degrees for 3 minutes. in the meantime, place the biscuits on plates and spread the pistachio cream over them. sprinkle the toasted pistachio over the biscuits, add the raspberries and serve. Enjoy your meal! nutrients fat 5, fiber 6, carbohydrates 8, proteins 3, calories 307"
How should I prepare How do you cook sweet dumplings?,"preparation time: 2 minutes cooking time: 6 minutes portions: 2 ingredients: 300g of potato gnocchi 50g of raisins 70g of grated cheese a pinch of cinnamon procedure: cook the potato gnocchi at 200 degrees for 6 minutes in your fryer. pour into bowls, add cinnamon, raisins and cheese and mix, then serve. Enjoy your meal! nutrients: fat 5, fiber 8, carbohydrates 15, protein 7, calories 274"
What are the necessary steps to cook affogato ice cream?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 2 scoops of vanilla ice cream 2 cups of coffee 2 tablespoons of granola 1 tablespoon of hazelnuts procedure: heat the fryer to 180 degrees and toast the granola and the hazelnuts for 3 minutes. In a bowl, pour the scoop of ice cream, add the coffee around it, put the granola and toasted hazelnuts on top and serve. Enjoy your meal! nutrients: fat 6, fiber 9, carbohydrates 8, protein 12, calories 261"
What are the instructions to cook pancakes with blueberries?,"preparation time: 2 minutes cooking time: 4 minutes portions: 3 ingredients: 25g of melted butter 2 eggs 6g of baking powder 125g of flour 200ml of milk 15g of sugar 100g of blueberries procedure: combine the eggs with butter, add the yeast, milk and mix well while slowly pouring in the flour. pour a ladle of the mixture into the fryer preheated to 180 degrees and cook to brown both sides. divide the pancakes between plates, add the blueberries on top and serve. Enjoy your meal! nutrients: fat 6, fiber 9, carbohydrates 16, protein 6, calories 255"
How can I go about cook avocado and egg toast?,"preparation time: 4 minutes cooking time: 5 minutes portions: 2 ingredients: 2 slices of toasted bread ½ avocado, peeled and mashed 1 egg two pinches of crushed red pepper a drizzle of olive oil procedure: add the egg in the fryer with ½ liter of cold water, bring to the boil and cook for 5 minutes. in the meantime, spread the avocado on the toasted bread slices. peel the egg, cut it in half and place one half on each slice of bread. season with red pepper and oil and serve. Enjoy your meal! nutrients: fat 6, fiber 7, carbohydrates 12, protein 4, calories 220"
How would you prepare What are the best ways to cook pistachio cream?,"preparation time: 5 minutes cooking time: 7 minutes portions: 4 ingredients: 750ml of whole milk 250g of sugar 4 egg yolks 100g of corn starch 100g of pistachio paste 100g of pistachios, shelled and crushed a pinch of salt procedure: put in a bowl sugar, starch, salt and egg yolks and mix with electric whisks. add the pistachio paste and milk and mix well. Pour the cream into the fryer preheated to 160 degrees and cook for 7 minutes. put the cream back in the bowl and let it cool. once cold, add the crushed pistachios, mix and serve. Enjoy your meal! nutrients: fat 10, fiber 7, carbohydrates 20, protein 10, calories 320"
How do you cook savory mix with eggs and tomatoes?,"prep time: 2 minutes cooking time: 4 minutes servings: 2 ingredients: 2 eggs 4 yellow cherry tomatoes, quartered 4 red cherry tomatoes, quartered 2 tablespoons guacamole handful of pumpkin seeds 2 tablespoons olive oil procedure: break the eggs into the fryer and cook them at 150 degrees for 4 minutes. in the meantime, arrange the red and yellow cherry tomatoes in a circle on the plates, alternating the colors. place an egg in the center of the cherry tomatoes, season with the pumpkin seeds and oil, add the guacamole to the plate with a teaspoon and serve. Enjoy your meal! nutrients: fat 5, fiber 3, carbohydrates 10, protein 6, calories 200"
How do you cook apple chips?,"preparation time: 2 minutes cooking time: 6 minutes portions: 4 ingredients: 3 apples, cored and cut into thin horizontal rings icing sugar to taste cinnamon to taste procedure: place the apple rings in the fryer preheated to 180 degrees and cook for 6 minutes. Place the apples on plates, sprinkle them with icing sugar and cinnamon and serve. Enjoy your meal! nutrients: fat 1, fiber 5, carbohydrates 12, proteins 5, calories 120"
What are the best practices for cook a refreshing salad?,"preparation time: 5 minutes cooking time: 3 minutes servings: 2 ingredients: 1/ ½ red and ½ yellow bell pepper, cut into strips and seeded a handful of chia seeds a handful of pumpkin seeds a handful of cherry tomatoes, cut into four salt and pepper to taste a spoonful of olive oil procedure: toast the chia and pumpkin seeds in the fryer at 180 degrees for 3 minutes. in the meantime, mix the peppers with the cherry tomatoes in a bowl. add the toasted seeds to the salad, season with oil, salt and pepper and divide among plates. Enjoy your meal! nutrients: fat 1, fiber 8, carbohydrates 6, protein 4, calories 150"
What is required to prepare What is the best way to cook bread with chestnuts?,"preparation time: 1 minute cooking time: 4 minutes portions: 2 ingredients: 2 slices of bread 2 tablespoons of chestnut jam 2 teaspoons of honey 2 chestnuts, crumbled oil in spray procedure: toast the bread for 2 minutes on the side at 180 in the appliance. place the bread on the plates, spread the chestnut cream, add the honey to the center and place the chopped chestnuts on the bruschetta, then serve. Enjoy your meal! nutrients: fat 8, fiber 7, carbohydrates 16, protein 8, calories 301"
What’s involved in prepare What is the best way to cook golden milk?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 130ml of water 40g of turmeric powder 1 pinch of black pepper 150ml of soy milk 1 tablespoon of honey procedure: boil the water in the fryer at 120 degrees, and once it boils add turmeric and pepper and mix. in the meantime, heat the milk in a saucepan, add a spoonful of the turmeric cream and the honey and mix well. transfer everything into a jar or glass to let it cool. once cold, mix a little and serve in glasses. Enjoy your meal! nutrients: fat 6, fiber 8, carbohydrates 10, protein 6, calories 151"
What are the instructions to prepare What is the best way to cook a vegetarian Danish breakfast?,"preparation time: 6 minutes cooking time: 5 minutes portions: 4 ingredients: 4 eggs 4 vegan sausages 4 slices of rye bread a large wedge of spicy cheese (300g) salt and pepper to taste 1 teaspoon parsley, chopped procedure: in the fryer, cook the sausages for 5 minutes at 180 degrees. in the meantime, prepare the scrambled eggs with parsley, salt and pepper and cook them in a pan. prepare the dish with a slice of cheese, a sausage, some eggs and bread and serve, enjoy your meal! nutrients: calories 22, fat 6, fiber 6, carbohydrates 7, protein 7"
How do I make creamy porridge?,"preparation time: 5 minutes + soaking overnight cooking time: 5 minutes portions: 2 ingredients: 140g of oat flakes 200ml of water 120ml of milk 100ml of vegetable cream a pinch of salt honey and fruit to serve procedure: leave Soak the oats in water overnight. the next morning, pour the oats into the fryer preheated to 150 degrees, add the milk, cream and salt and cook for 5 minutes. pour the porridge into bowls and serve with honey and fruit on top. Enjoy your meal! nutrients: fat 6, fiber 14, carbohydrates 22, proteins 8, calories 282"
What is the best way to cook a yoga breakfast?,"preparation time: 3 minutes cooking time: 3 minutes portions: 2 ingredients: ½ banana, peeled and mashed 1 apple and 1 pear, peeled and diced juice of ½ lemon a handful of dried fruit 1 tablespoon flax seeds procedure : toast the flaxseeds and dried fruit at 180 degrees in the fryer for 3 minutes. in the meantime, in a bowl mix the banana with the apple, pear and lemon juice. add the toasted ingredients to the fruit mix, mix and serve. Enjoy your meal! nutrients: fat 4, fiber 6, carbohydrates 14, proteins 3, calories 222"
Could you provide a step-by-step guide to prepare How do you cook a peasant breakfast?,"preparation time: 4 minutes cooking time: 5 minutes portions: 3 ingredients: 6 slices wholemeal bread 5 tablespoons butter, melted 6 teaspoons tomato pesto 150g shredded mozzarella procedure: arrange the bread slices on a work surface . spread the butter all over, add the tomato paste and mozzarella. add the bread slices to the hot air fryer and cook them at 180 degrees for 5 minutes. divide between plates and serve for breakfast. Enjoy your meal! nutrients: fat 6, fiber 6, carbohydrates 12, protein 7, calories 257"
How do I cook buttermilk biscuits?,"preparation time: 6 minutes cooking time: 8 minutes portions: 4 ingredients: 150g white flour 60g self-rising flour ¼ teaspoon bicarbonate of soda ½ teaspoon baking powder 1 teaspoon sugar 4 tablespoons butter at room temperature and diced + 1 tablespoon melted butter 180g buttermilk maple syrup to serve procedure: mix the white flour with the self-rising flour, the bicarbonate of soda, the baking powder and sugar. add the warm butter and mix with your hands, allowing it to melt into the mixture, add the buttermilk, mix until you obtain a dough and transfer to a floured work surface. roll out the dough and cut 10 pieces with a cookie cutter. arrange the biscuits obtained in the fryer pan, brush them with melted butter and cook them at 200 degrees for 8 minutes. serve them for breakfast with some maple syrup on top. Enjoy your meal! nutrients: fat 6, fiber 9, carbohydrates 12, protein 3, calories 232"
Can you show me how to cook budwig cream?,"preparation time: 7 minutes cooking time: 3 minutes servings: 3 ingredients: 2 tablespoons mixed seeds (pumpkin, walnuts, almonds), chopped 2 tablespoons flax seeds, crushed 1 tablespoon whole grains, crushed 2 tablespoons plain yogurt lean juice of ½ lemon ½ banana, peeled and cut into slices 100g apple, peeled and cut into small cubes 2 teaspoons of honey procedure: chop the mixed seeds, the flax seeds and cereals in a mixer, then toast everything in the fryer at 180 degrees for 3 minutes. put the toasted seeds back into the blender together with the yogurt, lemon juice and honey and blend. put the mix in a bowl, add the fruit and serve. Enjoy your meal! nutrients: fat 3, fiber 7, carbohydrates 14, protein 5, calories 272"
How should I cook quinoa with coconut and blueberries?,"preparation time: 3 minutes cooking time: 7 minutes servings: 4 ingredients: 150g quinoa 750ml coconut water 1 teaspoon vanilla extract 3 teaspoons stevia 20g desiccated coconut 40g cranberries, dried 15g almonds, chopped Method: In the air fryer, combine the quinoa with coconut water, vanilla, stevia, desiccated coconut, almonds and cranberries, cover and cook at 180 degrees for 7 minutes, stirring halfway through cooking. place in bowls and serve for breakfast. Enjoy your meal! nutrients: fat 5, fiber 5, carbohydrates 10, proteins 7, calories 146"
What is the best way to prepare a festive breakfast?,"preparation time: 3 minutes cooking time: 3 minutes portions: 2 ingredients: 250ml hot milk coffee to taste 100g granola 50g almonds a handful of salted caramel cubes procedure: toast the granola and almonds for 3 minutes at 200 degrees in the fryer. in the meantime, heat the milk in a saucepan and pour it into the cups together with the coffee. add the toasted dried fruit, add the caramel and serve with the still hot milk. Enjoy your meal! nutrients: fat 8, fiber 17, carbohydrates 20, protein 10, calories 200"
